Machine Brand,Count of Machine Brand,,Machine Brand,Machine Type,Machine Sub-Type,Count of Machine Brand,,Technician: State,Machine Type,Machine Brand,Count of Machine Brand,,State,Count of Technician: State
Fisher and Paykel - (Domestic),20752,,Fisher and Paykel - (Domestic),Dishwasher,Double Dish Drawer,2842,,VIC,Refrigerator,Fisher and Paykel - (Domestic),167,,VIC,80040
Bosch - (Domestic),15250,,,,Single Dish Drawer,1237,,,,Samsung - (Domestic),145,,QLD,31887
LG - (Domestic),10882,,,,(blank),936,,,,Westinghouse - (Domestic),128,,NSW,24466
Miele - (Premium Domestic),8906,,,,Under Bench,878,,,,LG - (Domestic),110,,SA,14939
Samsung - (Domestic),8781,,,,Free Standing,418,,,,Liebherr - (Premium Domestic),74,,WA,13017
Westinghouse - (Domestic),8103,,,,Fully Integrated,178,,,,Hisense - (Domestic),71,,ACT,731
Smeg - (Domestic),7992,,,,Semi Integrated,7,,,,Haier - (Domestic),59,,TAS,158
Multiple Appliances,6375,,,Dishwasher Total,,6496,,,,Bosch - (Domestic),36,,NT,41
Asko - (Premium Domestic),5547,,,Washing Machine,Top Loader,2783,,,,Electrolux - (Domestic),24,,(blank),
Electrolux - (Domestic),4893,,,,Front Loader,1924,,,,Sharp - (Domestic),24,,Grand Total,165279
Ilve - (Premium Domestic),4204,,,,(blank),413,,,,Grand Cru - (Premium Domestic) - (Limited Parts),22,,,
Hisense - (Domestic),3520,,,Washing Machine Total,,5120,,,,Whirlpool - (Domestic),22,,,
Blanco - (Domestic),2558,,,Refrigerator,Fridge & Freezer,3512,,,,Williams - (Commercial),17,,,
Haier - (Domestic),2419,,,,(blank),641,,,,GE - (Premium Domestic) - (Limited Parts),15,,,
Technika - (Domestic),2345,,,,Freezer Only,322,,,,Jenn Air - (Premium Domestic) - (Limited Parts),15,,,
Liebherr - (Premium Domestic),2290,,,,Fridge Only,274,,,,Schmick - (Domestic),13,,,
Hobart - (Commercial),2205,,,,French Door,86,,,,Skope - (Commercial),12,,,
Simpson - (Domestic),2052,,,,Other,23,,,,Kelvinator - (Domestic),12,,,
DeLonghi - (Domestic),1920,,,,Bar Fridge,14,,,,Miele - (Premium Domestic),11,,,
Omega - (Domestic),1909,,,,Side By Side,7,,,,Other,10,,,
AEG - (Domestic),1895,,,Refrigerator Total,,4879,,,,Maytag @ Home - (Premium Domestic),9,,,
Euromaid - (Domestic),1859,,,Dryer,(blank),664,,,,Panasonic - (Domestic),8,,,
Beko - (Domestic),1840,,,,Condenser,576,,,,Beko - (Domestic),7,,,
Eswood - (Commercial),1821,,,,Vented,432,,,,Scholtes - (Domestic),7,,,
Whirlpool - (Domestic),1812,,,,Heat Pump,254,,,,Gasmate - (Premium Domestic),6,,,
Kleenmaid - (Premium Domestic),1723,,,,Wall Mounted,83,,,,Sub Zero - (Premium Domestic),6,,,
Other,1722,,,,Stacked,76,,,,Multiple Appliances,6,,,
Ariston - (Domestic),1641,,,,Unknown,56,,,,Amana - (Premium Domestic) - (Limited Parts),4,,,
Maytag - (Commercial),1591,,,,Electric,28,,,,AEG - (Domestic),4,,,
Grand Cru - (Premium Domestic) - (Limited Parts),1529,,,,Free Standing,19,,,,Unknown,3,,,
Siemens - (Domestic),1113,,,,Other,13,,,,Phillips - (Domestic),3,,,
Speed Queen - (Commercial),1099,,,Dryer Total,,2201,,,,Baumatic - (Domestic),3,,,
Maytag @ Home - (Premium Domestic),1069,,,Oven - (Freestanding),Electric,284,,,,Smeg - (Domestic),3,,,
Chef - (Domestic),1002,,,,(blank),200,,,,Eurotag - (Domestic) - (Limited Parts),1,,,
Skope - (Commercial),918,,,,Dual Fuel,92,,,,Maytag - (Commercial),1,,,
Norris - (Commercial),788,,,,Free Standing,85,,,,,,,,
Hoover - (Domestic),743,,,,Pyrolytic,55,,,Dishwasher,Fisher and Paykel - (Domestic),192,,,
Baumatic - (Domestic),729,,,,Double,50,,,,Bosch - (Domestic),161,,,
Meiko - (Commercial),721,,,,Built In,27,,,,Smeg - (Domestic),113,,,
Bromic - (Commercial),711,,,,Gas,26,,,,Miele - (Premium Domestic),99,,,
Unknown,667,,,,LPG Gas,24,,,,Asko - (Premium Domestic),97,,,
Euro - (Domestic),637,,,,Natural Gas,16,,,,Hobart - (Commercial),32,,,
Panasonic - (Domestic),632,,,,Steam Oven,3,,,,Technika - (Domestic),27,,,
St George - (Premium Domestic) - (Limited Parts),592,,,Oven - (Freestanding) Total,,862,,,,Blanco - (Domestic),22,,,
GE - (Premium Domestic) - (Limited Parts),571,,,Oven - (Built In),Electric,269,,,,Haier - (Domestic),21,,,
Dishlex - (Domestic),546,,,,Pyrolytic,106,,,,Siemens - (Domestic),19,,,
Washtech - (Commercial),522,,,,(blank),52,,,,Classeq - (Commercial),16,,,
Classeq - (Commercial),500,,,,Double,13,,,,Multiple Appliances,16,,,
Sharp - (Domestic),440,,,Oven - (Built In) Total,,440,,,,Norris - (Commercial),13,,,
Goldstein - (Commercial),423,,,Cooktop,Gas,120,,,,Electrolux - (Domestic),13,,,
Ikea - (Domestic) - (Limited Parts),413,,,,Induction,120,,,,Ariston - (Domestic),12,,,
Jenn Air - (Premium Domestic) - (Limited Parts),401,,,,Natural Gas,68,,,,Kleenmaid - (Premium Domestic),12,,,
Orford - (Commercial),368,,,,(blank),46,,,,DeLonghi - (Domestic),11,,,
Smeg Professional - (Commercial),365,,,,Ceramic,18,,,,Whirlpool - (Domestic),11,,,
Electrolux Professional - (Commercial),336,,,,LPG Gas,8,,,,AEG - (Domestic),11,,,
Polar - (Commercial),336,,,,Electric,7,,,,Samsung - (Domestic),10,,,
Kelvinator - (Domestic),332,,,Cooktop Total,,387,,,,Westinghouse - (Domestic),8,,,
Esatto - (Domestic) - (Limited Parts),318,,,Rangehood,Canopy,100,,,,Schmick - (Domestic),8,,,
La Germania - (Premium Domestic),315,,,,(blank),63,,,,Other,8,,,
Artusi - (Domestic),308,,,Rangehood Total,,163,,,,Eurotag - (Domestic) - (Limited Parts),8,,,
Breville - (Domestic),295,,,Combo Washer & Dryer,(blank),96,,,,Eswood - (Commercial),8,,,
Bellissimo - (Domestic),274,,,,Electric,31,,,,Domain - (Domestic),7,,,
Kogan - (Domestic) - (Limited Parts),266,,,,Unknown,12,,,,Kogan - (Domestic) - (Limited Parts),7,,,
Lofra - (Domestic),265,,,Combo Washer & Dryer Total,,139,,,,Bellissimo - (Domestic),6,,,
Bellini - (Domestic),262,,,Microwave,Built In,48,,,,LG - (Domestic),6,,,
Highland - (Premium Domestic) - (Limited Parts),256,,,Microwave Total,,48,,,,Ilve - (Premium Domestic),6,,,
Neff - (Premium Domestic),256,,,Other,(blank),17,,,,Baumatic - (Domestic),6,,,
IAG - (Domestic),247,,,Other Total,,17,,,,Omega - (Domestic),6,,,
KitchenAid - (Premium Domestic),240,,Fisher and Paykel - (Domestic) Total,,,20752,,,,Platinum - (Domestic),6,,,
Amana - (Premium Domestic) - (Limited Parts),233,,Bosch - (Domestic),Dishwasher,Under Bench,3311,,,,Artusi - (Domestic),5,,,
