Category,Appliance,Rank,Machine Brand,Count
Commercial,1 Glass Door Display or Storage Fridge,1,Cold Display Solutions - (Commercial) - (Limited Parts),13
Commercial,Bain Marie,1,Roband - (Commercial),57
Commercial,Cocktail machine,1,Mixologiq - (Commercial) - (Limited Parts),89
Commercial,Commercial Appliance - Combination Microwave & Oven,1,Wolf - (Commercial),26
Commercial,Commercial Appliance - Deep Fryer,1,Frymaster - (Commercial),76
Commercial,Commercial Appliance - Deep Fryer,2,Thor - (Commercial),33
Commercial,Commercial Appliance - Deep Fryer,3,Woodson - (Commercial),14
Commercial,Commercial Appliance - Display Fridge,1,Anvil - (Commercial),29
Commercial,Commercial Appliance - Fryers,1,Henny Penny - (Commercial),5
Commercial,Commercial Appliance - Mixers,1,Robot Coupe - (Commercial),25
Commercial,Cooktop - Gas,1,Luus (Commercial),25
Commercial,Cooktop - Gas,2,American Range - (Commercial) - (Limited Parts),19
Commercial,Cooktop - Natural Gas,1,Cookrite - (Commercial) - (Limited Parts),24
Commercial,Cooktop - Natural Gas,2,Berto - (Commercial) - (Limited Parts),6
Commercial,Cooktop - Natural Gas,3,Cobra - (Commercial),5
Commercial,Cool Room,1,Cool Room - (Commercial) - (Limited Parts),34
Commercial,Dishwasher,1,Hobart - (Commercial),1757
Commercial,Dishwasher,2,Eswood - (Commercial),1215
Commercial,Dishwasher,3,Meiko - (Commercial),697
Commercial,Dishwasher,4,Norris - (Commercial),648
Commercial,Dishwasher,5,Washtech - (Commercial),306
Commercial,Dishwasher - Free Standing,1,Adler - (Commercial) - (Limited Parts),35
Commercial,Dishwasher - Free Standing,2,Everdure - (Commercial) - (Limited Parts),27
Commercial,Dishwasher - Free Standing,3,Modular - (Commercial),14
Commercial,Dishwasher - Under Bench,1,Brillar - (Commercial),16
Commercial,Dryer,1,Ipso - (Commercial) - (Limited Parts),52
Commercial,Ice Maker,1,Scootsman - (Commercial),65
Commercial,Ice Maker,2,Hoshizaki - (Commercial),27
Commercial,Ice Maker,3,Kastel - (Commercial),24
Commercial,Other,1,Anets - (Commercial) - (Limited Parts),34
Commercial,Other,2,Dean - (Commercial) - (Limited Parts),9
Commercial,Oven - (Built In),1,Birko - (Commercial),28
Commercial,Oven - (Built In),2,Blue Seal - (Commercial) - (Limited Parts),15
Commercial,Oven - (Built In) - Electric,1,Electrolux Professional - (Commercial),132
Commercial,Oven - (Built In) - Electric,2,Convotherm - (Commercial),45
Commercial,Oven - (Built In) - Gas,1,Rational - (Commercial),36
Commercial,Oven - (Built In) - Gas,2,Middleby Marshall - (Commercial),8
Commercial,Oven - (Freestanding),1,Goldstein - (Commercial),154
